LIMS_ID,B.naive,B.memory,Plasma.,T.CD8,T.CD4.naive,T.CD4.memory.resting,T.CD4.memory.activated,T.follicular.helper,T.regulatory.(Tregs),T.gamma.delta,NK.resting,NK.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.resting,Dendritic.activated,Mast.resting,Mast.activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HOA7812A1,0.01250675,0,0.000623733,0.129750067,0,0.066452674,0.010512827,0,0.003664638,0,0,0.028036088,0.54943848,0.001006675,0,0,0.002349208,0,0,0.000697132,0,0.194961727,0,0.84901522,0.575460136
HOA7812A2,0.028923977,0,0,0.285487372,0,0,0.034068117,0,0.014602306,0,0.004517002,0.031966204,0.290385132,0.009793989,0,0,0,0,0,0.009159254,0,0.291096647,0,0.770783881,0.663526796
HOA7812A3,0.005257323,0.0022637,0.006034803,0.185068917,0,0.008718228,0.009458264,0,0.014333034,0,0,0.026993912,0.475273731,0.005790827,0,0,0,0.00132677,0.002109983,0,0,0.257370508,0,0.538764647,0.846463155
HOA7812A4,0.037008611,0.001493393,0,0.294568874,0,0,0.03128771,0,0.022749217,0,0,0.051228001,0.358093634,0.002633561,0,0.004432451,0,0,0,0.00064615,0,0.195858399,0,0.807337937,0.643566612
HOA7812A5,0.038388831,0.003914198,0,0.006922062,0.039727098,0,0,0,0.019045185,0.006405943,0.015091291,0,0.466112839,0.013730919,0,0,0,0,0.014899043,0,0,0.375762591,0,0.777770648,0.630019889
HOA7812A6,0.026357586,0.009742076,0,0.120042111,0,0,0.011750163,0,0.012493882,0,0.020861699,0,0.48015173,0.006084145,0,0,0,0,0,0,0,0.312516609,0,0.816568332,0.593877091
HOA7812A7,0.019478436,0.009188702,0.006494838,0.147095697,0,0,0.019425457,0,0.018870418,0.019784961,0.0122372,0.033625487,0.347251426,0.006534175,0,0,0,0,0,0,0,0.360013204,0,0.673831079,0.738853934
HOA7812A8,0.01997067,0.020027415,0.005630662,0.151112283,0,0,0.013903765,0,0.018073765,0.00389879,0.013900501,0.03342302,0.34615307,0.008853672,0,0,0,5.39E-05,0,0,0,0.364998495,0,0.684335933,0.729428907
HOA7812A9,0.017566326,0,0.002029761,0.079546788,0.020001526,0.012501312,0.013534279,0,0.01003325,0.009803275,0.023483646,0,0.456717961,0.006500591,0,0,0,0,0.000309938,0,0,0.347971346,0,0.838408975,0.563238974
HOA7812A10,0.00968517,0.00040789,0.002051946,0.080940888,0,0,0.005427424,0,0.021297537,0,0.019846089,0.002310893,0.394857677,0.011843874,0,0,0,0.000981338,0.002101107,0,0,0.448248166,0,0.806912047,0.592695556
HOA7812A11,0.030904287,0.015089689,0,0.171970253,0,0,0.020637494,0,0.023326239,0.005690597,0.012956299,0.014037728,0.381289615,0.016780433,0,0,0,0,0,0.005748101,0,0.301569263,0,0.835713801,0.590710638
HOA7812A12,0.00486345,0,0.003085732,0.103632952,0.004007226,0,0.020898241,0,0.010860858,0.013234274,0.00221794,0.025379947,0.296649711,0.004885311,0,0,0,0.003823776,0,0.004497909,0,0.501962673,0,0.828988591,0.563753159
HOA7812A13,0.011817432,0,0.001665159,0.05976339,0,0,0.018063306,0,0.015322103,0.030072119,0,0,0.32916154,0,0,0,0,0.00036929,0,0.005003613,0,0.528762049,0,0.790643479,0.613208729
HOA7812A14,0.014814282,0,0,0.126747182,0,0,0.010592266,0,0.019352047,0.00640282,0,0.011642196,0.372741272,0.008458685,0,0,0,0.000420316,0.000653963,0,0,0.42817497,0,0.827685045,0.570081291
HOA7812A15,0.004694415,0,0.001404107,0.013267588,0.022563699,0,0.009347794,0,0.011779096,0,0.041599867,0.000976651,0.318820329,0,0,0,0,0.002541804,0,0,0,0.573004651,0,0.870921697,0.49333773
HOA7812A16,0.010606916,0,0.00017819,0.130561168,0,0,0.004037362,0,0.013921906,0.038725959,0,0.038031523,0.354184321,0.001740131,0,0,0,0.00090069,0,0,0,0.407111835,0,0.86805326,0.522986843
HOA7812A17,0.003191861,0.022472764,0.000806605,0.029768842,0.023441321,0,0.027338217,0,0.025464188,0,0.038982353,0.003284144,0.157680759,0.038348979,0,0,0,0.006127954,0.002687119,0,0,0.620404893,0,0.841868339,0.54178942
HOA7812A18,0.028269705,0.020748989,0.00414534,0.055528641,0.024930774,0,0.001503759,0,0.029739521,0.006614546,0.014588353,0,0.266145303,0.023236673,0,0,0,0.004161148,0.012262588,0,0,0.50812466,0,0.731748939,0.682427224
HOA7812A19,0.033793084,0,0,0.074983611,0.039436852,0.046412077,0.009163021,0,0.005607959,0.011531859,0.003535247,0.000411845,0.430680249,0.001395251,0,0,0,0.001388361,0,0,0,0.341660583,0,0.839729286,0.566948987
HOA7812A20,0,0.01318783,0.001066049,0.076415761,0.004297504,0,0.018152694,0,0.010396236,0.012339309,0.004424789,0.002678686,0.454719648,0,0,0,0,0.000446806,0,9.35E-05,0,0.401781152,0,0.896818954,0.467800823
HOA7812A21,0.014573231,0.013415716,0.003380438,0.077415632,0.011265844,0,0.03705429,0,0.042704839,0.014050727,0.011033447,0.013106631,0.268720205,0.061317924,0.002353052,0,0,0,0,0,0,0.429608024,0,0.730889756,0.683949492
HOA7812A22,0.005563631,0.015371136,0,0.019909006,0.090308409,0.00962465,0,0,0,0,0.011591175,0.012878622,0.236895344,0.020014097,0,0,0,0.000966442,0.013936897,0,0,0.562940592,0,0.777533248,0.630036456
HOA7812A23,0,0.012095095,0,0.122913943,0,0,0.008974616,0,0.005592482,0.013605335,0,0.027057782,0.400984524,0,0.000170572,0,0,0.002809084,0,0.006792789,0,0.399003778,0,0.814598756,0.588496054
HOA7812A266,0.017826916,0.004901537,0.000934559,0.213257549,0.00449472,0,0.026940066,0,0.030023849,0,0.074403372,0.043139542,0.379013837,0.01199186,0,0.001604831,0,0,0.009465103,0,0,0.182002259,0,0.674825024,0.748238365
HOA7812A267,0,0.006229894,0.006373382,0.115882112,0.102342265,0.030257081,0.033189567,0,0.000273013,0,0.024772212,0.047059774,0.414788779,0.014530003,0,0,0.004904282,0,0.002542276,0,0,0.196855361,0,0.809683623,0.638428764
HOA7812A268,0.019894715,0,0,0.197267733,0.033498074,0.094017244,0.028341011,0,0.015375105,0,0.046542699,0.039847256,0.404010847,0,0,0,0,0,0.007450581,0,0,0.113754736,0,0.836727239,0.631170501
